"cell_tower_id1","cell_tower_id2","source1_name","source2_name","district1","district2","latitude1","latitude2","longitude1","longitude2","nearest_precip_station","distance","nearest_precip_lat","nearest_precip_long","id_1","id_2"
"VA0062","VA0072","Arapanagar-VA0062-15G/678-24-ODU-1(RTNRF-1)","Irattaperiyakulama_Dialog-VA0072-15G/678-24-ODU-1(RTNRF-1)","Vavnia","Vavnia",8.762222,8.69087,80.435833,80.4824,434150,0.000693930901683,8.75,80.5,586,2245
"MA0015","MA0014","Periyakunchikulam_Mobitel-MA0015-11G/440-23-ODU-1(RTNRF-1)","Periyathampanai_Dialog-MA0014-11G/440-23-ODU-1(RTNRF-1)","Mannar","Mannar",8.698611,8.789722,80.160556,80.254444,434100,0.000869500659936,9.267,80.817,587,2246
"CM0830","GM0040","Henamulla_Lane_Grandpass_North-CM0830-26G/549-23-ODU-1(RTNRF-1)","Peliyagoda DBN-GM0040-26G/549-23-ODU-1(RTNRF-1)","Colombo","Gampaha",6.96294,6.96324,79.8749,79.8831,434790,0.007704871919947,6.983,81.05,588,2247
"KU0009","KU0023","Mawathagama_T_Suntel-KU0009-18G/733-23-ODU-1(RTNRF-1)","Mawathagama-KU0023-18G/733-23-ODU-1(RTNRF-1)","Kurunegala","Kurunegala",7.42916,7.44404,80.4581,80.4336,434440,0.000204679656112,7.333,80.633,589,2248
"KU0009","KU0023","Mawathagama_T_Suntel-KU0009-18G/733-24-ODU-1(RTNRF-1)","Mawathagama-KU0023-18G/733-24-ODU-1(RTNRF-1)","Kurunegala","Kurunegala",7.42916,7.44404,80.4581,80.4336,434440,0.000204679656112,7.333,80.633,590,2249
"PO0104","PO0065","Maduruoya _SF_Mobitel-PO0104-18G/1908-23-ODU-1(RTNRF-1)","Maduruoya_Camp_MTU-PO0065-18G/1908-23-ODU-1(RTNRF-1)","Polonnaruwa","Polonnaruwa",7.653931,7.691944,81.190681,81.185,434180,0.001514048739075,8.539,81.182,591,2250
"KU0027","KU0069","Ambanpola-KU0027-18G/1438-23-ODU-1(RTNRF-1)","Maho_North-KU0069-18G/1438-23-ODU-1(RTNRF-1)","Kurunegala","Kurunegala",7.917778,7.863889,80.241667,80.238611,434950,0.001022048174153,6.033,80.217,592,2251
"KU0027","KU0069","Ambanpola-KU0027-18G/1438-24-ODU-1(RTNRF-1)","Maho_North-KU0069-18G/1438-24-ODU-1(RTNRF-1)","Kurunegala","Kurunegala",7.917778,7.863889,80.241667,80.238611,434950,0.001022048174153,6.033,80.217,593,2252
"KU0011","KU0170","Narammala-KU0011-13G/774-23-ODU-1(RTNRF-1)","Panagamuwa-KU0170-13G/774-23-ODU-1(RTNRF-1)","Kurunegala","Kurunegala",7.43347,7.43724,80.2013,80.298,434410,0.008602565371771,7.467,80.367,594,2253
"KU0011","KU0170","Narammala-KU0011-13G/774-25-ODU-1(RTNRF-1)","Panagamuwa-KU0170-13G/774-25-ODU-1(RTNRF-1)","Kurunegala","Kurunegala",7.43347,7.43724,80.2013,80.298,434410,0.008602565371771,7.467,80.367,595,2254
"AN0115","VA0045","Galkulama_Kanda-AN0115-13G/495-23-ODU-1(RTNRF-1)","Vedivaittakallu-VA0045-13G/495-23-ODU-1(RTNRF-1)","Anuradapura","Vavnia",8.893056,8.93981,80.799167,80.6898,434180,0.005456032908822,8.539,81.182,596,2255
"GM0115","GM0153","Demalagama-GM0115-23G/846-23-ODU-1(RTNRF-1)","Wilimbula-GM0153-23G/846-23-ODU-1(RTNRF-1)","Gampaha","Gampaha",7.00286,7.02213,80.0591,80.0566,434950,0.000398725374795,6.033,80.217,597,2256
"PO0070","PO0001","Sudu_Araliy_Hotl_Ind-PO0070-11G/316-23-ODU-1(RTNRF-1)","Girithale-PO0001-11G/316-23-ODU-1(RTNRF-1)","Polonnaruwa","Polonnaruwa",7.924444,7.98961,80.9925,80.9233,434130,0.000604129527612,8.983,79.917,598,2257
"PO0070","PO0001","Sudu_Araliy_Hotl_Ind-PO0070-11G/316-24-ODU-1(RTNRF-1)","Girithale-PO0001-11G/316-24-ODU-1(RTNRF-1)","Polonnaruwa","Polonnaruwa",7.924444,7.98961,80.9925,80.9233,434130,0.000604129527612,8.983,79.917,599,2258
"CM0964","CM0150","Kollupitiya_South-CM0964-26G/869-23-ODU-1(RTNRF-1)","Landmark-CM0150-26G/869-23-ODU-1(RTNRF-1)","Colombo","Colombo",6.898333,6.903611,79.853333,79.8525,434660,0.000173768856327,6.9,79.867,600,2259
